degree	clustering	betweenness	modules
0.734679404	0.013774491	0	3
0.651589869	0.0086119	84024	3
0.799328713	0.009273976	15106	3
0.859544471	0.014298734	0	3
0.791943338	0.015176958	0	3
0.541815632	0.015785233	0	3
0.889285569	0.004825851	50206	3
0.663269486	0.004441822	14672	3
0.718496262	0.010906055	198	3
0.705821581	0.013590682	0	3
0.640006367	0.012541469	554	3
0.60381076	0.004127649	51698	3
0.478387603	0.011109708	0	4
0.410771304	0.008447877	666	2
0.440530331	0.008391786	38	2
0.444983717	0.01332749	0	2
0.640709445	0.006977728	1402	3
0.527251439	0.004652252	27362	2
0.470342494	0.004900406	15572	3
0.538936862	0.014969287	86	3
0.337381363	0.008787571	152	4
0.631233886	0.00522066	17244	3
0.543199962	0.008618136	3628	3
0.634904381	0.014586275	0	3
0.642103575	0.013027397	0	3
0.63608518	0.008435612	3300	3
0.75568666	0.005830978	8788	3
0.346653225	0.007060713	5866	4
0.435289133	0.007126558	8384	4
0.51891549	0.011620799	0	4
0.708648798	0.01320995	0	4
0.526576527	0.010946909	14	4
0.670624688	0.01247155	0	4
0.653090437	0.010615861	1138	4
0.499299974	0.01156262	0	4
0.579006146	0.005280625	10336	4
0.431492558	0.008664378	3202	4
0.592539425	0.010098085	46	4
0.673771521	0.007570321	148	4
0.691842784	0.009510236	1368	4
0.681522761	0.008724143	1416	6
0.649530737	0.007754683	10494	6
0.692042241	0.006599683	12576	6
0.810295942	0.005796332	4296	6
0.552317741	0.008289628	5188	6
0.75803792	0.007394645	2002	6
0.558027422	0.007442213	2448	6
0.602391798	0.00590131	6746	9
0.613587219	0.005663139	14994	6
0.740993148	0.006761049	12858	6
0.438979723	0.008978801	14092	6
0.640642473	0.005403877	2810	6
0.912489599	0.004634613	14996	3
0.663423752	0.006508345	16754	3
0.727624848	0.005765767	11862	3
0.557098504	0.011238559	0	3
0.84236815	0.010827486	0	3
0.647791924	0.010329419	0	3
0.534089783	0.009401037	1972	3
0.840578549	0.004297833	29296	3
0.732543336	0.004996626	13818	3
0.611724331	0.008240301	938	3
0.490461194	0.013438515	0	3
0.745956213	0.012565578	0	3
0.816872377	0.007247683	31254	3
0.782774679	0.008915739	0	3
0.691060451	0.006847927	3886	3
0.528856411	0.006714214	3248	3
0.864349793	0.008475657	616	3
0.532092988	0.004820787	13748	3
0.539343784	0.006506075	3438	3
0.616181864	0.007443677	2844	3
0.779247855	0.008221079	182	3
0.248910974	0.007992103	0	3
0.484172244	0.010345738	0	3
0.646290148	0.007998954	4	3
0.711524918	0.008396556	116	3
0.755265415	0.010089104	0	3
0.542427041	0.010074775	4	3
0.676772564	0.009755016	688	3
1.209675415	0.008141332	1970	3
0.773567577	0.008738897	0	3
0.623307714	0.00841907	0	3
0.13962126	0.006011347	6	3
0.021476571	0.000686547	74	3
0.016388871	0.001791773	210	3
0.097562736	0.00861576	3456	3
0.08997021	0.006390781	76990	3
0.2798035	0.011966334	748	3
0.330858463	0.008940444	1884	3
0.611964602	0.009506747	2180	3
0.156811996	0.009324593	102	3
0.385504012	0.007481591	4954	3
0.436288035	0.007651883	606	3
0.72278302	0.00734557	556	3
0.614890087	0.009223324	734	3
0.516127042	0.011372915	0	3
0.135807907	0.006553989	32680	3
0.369354698	0.00816098	2970	3
0.491573346	0.012368033	602	3
0.501231947	0.008814179	7412	3
0.57308416	0.006530707	1166	4
0.095667201	0.009370296	140	3
0.301625593	0.007201237	394	3
0.401133336	0.008982479	104	3
0.210545191	0.009948541	32	3
0.061328142	0.006596052	258	3
0.122951857	0.008571566	0	3
0.114503919	0.00512175	0	3
0.236252863	0.004970614	134	3
0.283401418	0.006497688	2	3
0.244785254	0.010730308	138	3
0.671734343	0.008944386	14	3
0.343963679	0.010711395	2	3
0.357426208	0.011242431	1966	3
0.643813665	0.007464869	830	3
0.212692919	0.017049235	0	3
0.443408313	0.010970177	12	3
0.107273002	0.019063437	0	3
0.081572774	0.003759373	208	3
0.151150135	0.004592048	70	6
0.126024069	0.009136809	128	3
0.077723437	0.004244946	1694	4
0.244219383	0.008190291	66	3
0.282277193	0.005730534	2334	4
0.172722942	0.004635642	1402	4
0.338701814	0.004807695	0	9
0.18256986	0.002799213	4680	4
0.176352888	0.004448702	3820	4
0.1360847	0.004604636	2216	4
0.113111836	0.003121049	54	4
0.167760339	0.003318304	60	4
0.036043948	0.004083129	0	4
0.039212572	0.001071902	0	4
0.156297349	0.004710429	3590	4
0.079834555	0.004271021	0	4
0.052193393	0.004531976	0	4
0.01775493	0.009500313	0	4
0.003636256	0	0	1
0.150762858	0.006317918	2314	3
0.041551865	0.008146864	0	4
0.011574346	0.004409823	0	3
0.016589154	0.003353921	0	4
0.000994878	0	0	3
0.001719316	0	0	1
0.071716206	0.00896282	0	4
0.071367732	0.002211628	3394	4
0.454810776	0.006955751	516	4
0.242698664	0.004924787	96	4
0.235181518	0.004146298	21328	4
0.473625938	0.004768535	12778	4
0.259694607	0.00299725	21246	4
0.137325889	0.009490358	142	4
0.27687112	0.008738101	2944	4
0.615553933	0.005913663	2260	4
0.413151773	0.010748931	0	4
0.193349086	0.012504155	808	4
0.088020921	0.020029723	0	4
0.018795317	0.02220246	0	4
0.185080931	0.010515001	0	4
0.033349241	0.019277001	0	4
0.005112738	0.006836172	0	4
0.005748922	0.012519103	40	4
0.05901884	0.005392103	0	4
0.016182014	0.007187842	12	4
0.037739909	0.000574677	3346	4
